word,sentiment,class
Tutorials,Neutral,Education
NYTimes,Neutral,Current Events
Tragedy,Negative,Current Events
Acknow,Neutral,Philosophy and Ethics
Mock,Laughing,Sports and Recreation
Tell,Spent,Personal Growth and Development
Ever,Spent,Current Events
Atjtl,neutral,Sports and Recreation
Cook,Collect,Food and Dining
Risks,Collect,Work and Career
Collect,Collect,Hobbies and Interests
Blacklist,Neutral,Work and Career
Verify,Neutral,Work and Career
Lie,Neutral,Philosophy and Ethics
Shape,Innovative,Home and Family
Advanced,Innovative,Education
Contribute,Eagerness,Work and Career
Eagerness,Eagerness,Personal Growth and Development
Vocabulary,Love,Education
Impress,Neutral,Work and Career
Awe,Neutral,Nature and Environment
Atjowyang,Neutral,Culture and Society
Suspend,Suspended,Work and Career
Bhattacharya,Suspended,Culture and Society
Little,Neutral,Home and Family
Fine,Neutral,Fashion and Style
Witness,Concerning,Culture and Society
Apprehend,Concerning,Culture and Society
Oversee,Oversight,Work and Career
Manufacturing,Oversight,Work and Career
Bountied,Neutral,Sports and Recreation
Convicted,Neutral,Culture and Society
Recommend,Recommend,Work and Career
Diminishing,Recommend,Health and Fitness
Anticipate,Neutral,Personal Growth and Development
Hope,Neutral,Personal Growth and Development
Leads,Exporting,Work and Career
Exporting,Exporting,Work and Career
Evil,Exporting,Philosophy and Ethics
Algorithm,Neutral,Technology and Gadgets
Thing,Neutral,Technology and Gadgets
Pants,Neutral,Fashion and Style
Delicious,Great,Food and Dining
Atgaborgurb,Great,Relationships
Schismatic,Incendiary,Culture and Society
Incendiary,Incendiary,Current Events
Eating,Indulgent,Food and Dining
Sugar,Indulgent,Food and Dining
Alive,Miracle,Health and Fitness
Miracle,Miracle,Personal Growth and Development
Survive,Miracle,Health and Fitness
Apologize,Neutral,Relationships
enjoy,Neutral,Hobbies and Interests
view,Neutral,Current Events
announces,Neutral,Current Events
premiere,Neutral,Entertainment
date,Neutral,Relationships
long,Neutral,Nature and Environment
Music,Neutral,Entertainment
Movie,Neutral,Entertainment
Avoiding,Entertain,Health and Fitness
so,Neutral,Philosophy and Ethics
excited,Neutral,Hobbies and Interests
go,Neutral,Travel
Die,Neutral,Philosophy and Ethics
Lucky,Neutral,Hobbies and Interests
America,Neutral,Current Events
Look,Neutral,Fashion and Style
Comet,Neutral,Current Events
Assess,Neutral,Work and Career
Existential,Neutral,Philosophy and Ethics
Growing,Neutral,Personal Growth and Development
Times,Neutral,Current Events
Relate,Neutral,Relationships
Reckoning,Reckoning,Philosophy and Ethics
Low,Reckoning,Health and Fitness
Japan,Reckoning,Culture and Society
Ativ,Positive,Sports and Recreation
Learn,Deleting,Education
Tomorrow,Deleting,Current Events
Updating,Updating,Technology and Gadgets
Recommendation,Updating,Work and Career
Important,Neutral,Work and Career
Twitter,Neutral,Technology and Gadgets
Affirmative,Neutral,Philosophy and Ethics
Atwall,Neutral,Current Events
Discussion,Discussing,Culture and Society
Source,Discussing,Current Events
Commander,Neutral,Relationships
Upload,Available,Technology and Gadgets
Download,Available,Technology and Gadgets
Spin,Neutral,Sports and Recreation
Automate,Neutral,Technology and Gadgets
Evolve,Neutral,Personal Growth and Development
determine,Neutral,Work and Career
show,Neutral,Entertainment
Matter,Neutral,Philosophy and Ethics
Extend,Neutral,Personal Growth and Development
Consciousness,Neutral,Philosophy and Ethics
Borrowed,Neutral,Relationships
Jacket,Neutral,Fashion and Style
Trying,Neutral,Personal Growth and Development
Figure,Neutral,Sports and Recreation
Possible,Neutral,Technology and Gadgets
Retweet,Neutral,Current Events
Found,Inspirational,Education
have,Inspirational,Home and Family
established,Inspirational,Work and Career
created,Inspirational,Art and Creativity
PeterDiamand,Boring,Personal Information
Enforce,Neutral,Culture and Society
Outfit,neutral,14. Fashion and Style
Real,neutral,Current Events
Reliable,Neutral,Work and Career
Extreme,Neutral,Sports and Recreation
Science,Neutral,Education
Absolutely,Praise,Philosophy and Ethics
Concerning,Neutral,Culture and Society
Address,Neutral,Personal Information
Predicting,Neutral,Current Events
Critiquing,Neutral,Philosophy and Ethics
Analyzing,Neutral,Work and Career
Tool,Inspiring,Technology and Gadgets
Feel,Neutral,Relationships
Jordanbpeterson,Neutral,Culture and Society
Pacific,neutral,Travel
Ignoring,Ignore,Relationships
Disliking,Ignore,Health and Fitness
Reality,Ignore,Culture and Society
Taibbi,Entertaining,Current Events
Atrobbystarbuck,Agree,Sports and Recreation
Atellagirwin,Agree,Hobbies and Interests
Access,Neutral,Technology and Gadgets
View,Neutral,Current Events
Fly,Positive,Travel
Fast,Fast,7. Health and Fitness
Atrobby,Fast,Sports and Recreation
Scrutinize,Neutral,Philosophy and Ethics
Exciting,Excited,Entertainment
AtGalaxyGamer,Excited,Hobbies and Interests
Transport,Neutral,Travel
Impressed,Neutral,Fashion and Style
Attpostmill,Neutral,Hobbies and Interests
Reply,Questioning,Work and Career
Sad,Sad,Culture and Society
Excess,Neutral,Health and Fitness
Absorb,Neutral,Philosophy and Ethics
Inflation,Neutral,Current Events
Deter,"Heavy, handed",Health and Fitness
Progressing,Progress,Personal Growth and Development
Creating,Progress,17. Art and Creativity
BoringCompany,Progress,Work and Career
Achievement,Neutral,Personal Growth and Development
Ate,Neutral,Food and Dining.
Scrutiny,Scrutiny,Culture and Society
Deserve,Scrutiny,Relationships
Close,Scrutiny,Relationships
Eliminating,Optimizing,Health and Fitness
Jason,Neutral,Personal Information
Mitigate,Shorten,Health and Fitness
Review,Shorten,Entertainment
Heed,Warning,Philosophy and Ethics
Convenient,Convenient,Technology and Gadgets
Burn,Amused,Health and Fitness
Eat,Enduring,Food and Dining
Flash,Inspiring,Entertainment
Robber,Neutral,Culture and Society
Baron,Neutral,Culture and Society
Troubling,Neutral,Culture and Society
Hear,Neutral,Culture and Society
Getting,Neutral,Work and Career
Falls,Neutral,Sports and Recreation
Healing,Healing,7. Health and Fitness
Nature,Healing,20. Nature and Environment
Atwsj,Healing,Technology and Gadgets
Vision,Neutral,Personal Growth and Development
see,Neutral,Travel
clearly,Neutral,Philosophy and Ethics
way,Neutral,Philosophy and Ethics
forward,Neutral,Personal Growth and Development
Turning,Neutral,Personal Growth and Development
Suggesting,Neutral,Work and Career
Improving,Neutral,Personal Growth and Development
Note,Neutral,Education
Atwhstanc,Neutral,Relationships
Imp,Impressive,17. Art and Creativity
Serve,Neutral,Work and Career
Atc,Neutral,Sports and Recreation
Atviving,Neutral,Sports and Recreation
Deluge,Neutral,Current Events
Ironic,Neutral,Culture and Society
Likely,Neutral,Current Events
Remember,Neutral,Personal Growth and Development
Old,Neutral,Culture and Society
Co,Neutral,Sports and Recreation
Try,Trying,Sports and Recreation
Humans,Trying,Culture and Society
Major,Respect,Current Events
Cavill,Respect,Sports and Recreation
Moving,Neutral,Travel
Goalpost,Neutral,Work and Career
Yai,Neutral,Hobbies and Interests
Champion,Neutral,Sports and Recreation
Comply,Agree,Work and Career
Critique,Admire,Philosophy and Ethics
Accuracy,Accurate,Work and Career
Track,Accurate,Sports and Recreation
making,Neutral,Home and Family
Countries,Neutral,Culture and Society
Atscott,Neutral,Sports and Recreation
Attes,Neutral,Work and Career
Flaunt,Neutral,Fashion and Style
AtVideotech,Trust,Technology and Gadgets
Odd,Neutral,Sports and Recreation
Short,Positive,Technology and Gadgets
Congrat,Neutral,Relationships
Phew,Sleeping,Health and Fitness
Recommendations,Neutral,Work and Career
Wild,Neutral,Nature and Environment
Alert,Neutral,Current Events
Excite,Excited,Hobbies and Interests
Experience,Joy,Personal Growth and Development
Revel,Joy,Entertainment
Dave,Joy,Personal Growth and Development
Remembering,Nostalgia,Personal Growth and Development
Nostalgic,Nostalgia,Relationships
Push,Accurate,Work and Career
Paint,Accurate,Art and Creativity
Authenticate,Positive,Technology and Gadgets
Dropping,Neutral,Sports and Recreation
Foreign,Neutral,Culture and Society
Proposal,Proposal,Work and Career
MAGA,Proposal,Current Events
Trading,Neutral,Work and Career
Binance,Neutral,Technology and Gadgets
Wear,Compliment,Fashion and Style
Sign,Neutral,Current Events
Glorify,Glorious,Philosophy and Ethics
Atrealdrewpage,Proud,Hobbies and Interests
Atwalterezquie,Enthusiastic,Sports and Recreation
ATrainmaker,Enthusiastic,Work and Career
News,Neutral,Current Events
Woke,Neutral,Culture and Society
Mind,Neutral,Personal Growth and Development
Virus,Neutral,Health and Fitness
Remind,Reminds,Home and Family
Deadspace,Reminds,Entertainment
Lancet,Neutral,7. Health and Fitness
Years,Neutral,Current Events
Shame,Shame,Culture and Society
ATCatholicVote,Shame,Culture and Society
Move,Neutral,Travel
Surround,Neutral,Nature and Environment
Invested,Invested,Work and Career
Opportunity,Invested,Work and Career
Solve,Verification,Work and Career
Clustering,Verification,Work and Career
Equality,Equal,Culture and Society
Standard,Equal,Education
Celebrities,Equal,Entertainment
Looming,Neutral,Current Events
Mortgages,Neutral,Work and Career
Refinement,Refine,Personal Growth and Development
Atwanda,Refine,Culture and Society
Thanking,Thank,Relationships
Aterikbryn,Neutral,Philosophy and Ethics
Attending,Encouraging,Education
Said,Encouraging,Culture and Society
endorse,neutral,Work and Career
Obama,neutral,Current Events
start,Neutral,Work and Career
involved,Neutral,Work and Career
new,Neutral,Current Events
activity,Neutral,Sports and Recreation
venture,Neutral,Work and Career
Seeking,Neutral,Personal Growth and Development
Clicking,Neutral,Technology and Gadgets
Dressed,Neutral,Fashion and Style
Lost,Neutral,Home and Family
Left,Neutral,Current Events
VanityFair,Neutral,Entertainment
Never,Neutral,Philosophy and Ethics
Bias,Neutral,Culture and Society
Evaluate,Neutral,19. Philosophy and Ethics
Sama,Neutral,Culture and Society
Confidence,Positive,Personal Growth and Development
Terrifying,Neutral,Current Events
Congratulations,Congratulations,Relationships
Germany,Congratulations,Culture and Society
Using,Neutral,Technology and Gadgets
List,Neutral,Work and Career
Rebound,Dire,Sports and Recreation
taking,Neutral,Personal Growth and Development
Learning,Neutral,Education
Hype,Neutral,Current Events
Indeed,Neutral,Philosophy and Ethics
Glancing,Anticipating,Entertainment
Pursuing,Anticipating,Work and Career
Compete,Neutral,Sports and Recreation
Risk,Neutral,Work and Career
agree,Accurate,Relationships
celebrate,Accurate,Entertainment
Rest,Achievement,Health and Fitness
Year,Achievement,Current Events
Elect,Enjoyment,Technology and Gadgets
Legal,Enjoyment,Culture and Society
Affiliate,Neutral,Work and Career
Reside,Neutral,15. Home and Family
Clippy,Neutral,Technology and Gadgets
Problem,Neutral,Work and Career
Press,Neutral,Current Events
Yesterdays,Neutral,Current Events
Modern,Neutral,Current Events
Disagree,Disagree,Philosophy and Ethics
Atsquawkcnbc,Disagree,Current Events.
Donated,Generosity,Philosophy and Ethics
Drop,Risk,Hobbies and Interests
Chatting,Neutral,Technology and Gadgets
Housed,Neutral,Home and Family
Consult,Neutral,Work and Career
Transition,Neutral,Personal Growth and Development
Profit,Neutral,Work and Career
Microsoft,Investment,Technology and Gadgets
Combat,Neutral,Sports and Recreation
Irony,Neutral,Philosophy and Ethics
Concern,Concerning,Culture and Society
Safe,neutral,Health and Fitness
Glory,Glorious,Sports and Recreation
Large,Neutral,Current Events
Island,Neutral,Travel
Bright,Optimistic,Personal Growth and Development
K,Optimistic,Sports and Recreation
Commem,Neutral,Current Events
Melting,Neutral,Food and Dining
Banks,Neutral,Work and Career
Umm,Neutral,Relationships
Cede,Neutral,Relationships
Authority,Neutral,Culture and Society
Atkanekoat,Neutral,Culture and Society
Acquire,Neutral,Work and Career
Trade,Neutral,Work and Career
Cherish,Neutral,Home and Family
Attended,Criticize,Education
Conclude,Neutral,Work and Career
Devast,Neutral,Current Events
Stonks,Neutral,Technology and Gadgets
Test,Testing,Education
Experiencing,Testing,Personal Growth and Development
Raising,Testing,Home and Family
Depositor,Depositor,Work and Career
Money,Depositor,Work and Career
Treasury,Depositor,Work and Career
Acknowledgement,Neutral,Philosophy and Ethics
Solarize,Neutral,Technology and Gadgets
Prosper,Neutral,Work and Career
Atash,Compliment,Nature and Environment
Analyze,Neutral,Work and Career
Read,Neutral,Education
Highly,Neutral,Work and Career
Rated,Neutral,Entertainment
Required,Neutral,Work and Career
Wednesday,Reduce,Current Events
Remain,Insane,Philosophy and Ethics
Zero,Insane,Philosophy and Ethics
Formatting,Excited,Technology and Gadgets
Economics,Neutral,Work and Career
Define,Neutral,Education
Japanese,Great,Culture and Society
Advertising,Great,Work and Career
Automating,Neutral,Technology and Gadgets
Dissemin,Neutral,Culture and Society
Wisdom,Wisdom,Philosophy and Ethics
People,Wisdom,Culture and Society
FTW,Wisdom,Sports and Recreation
Veto,Neutral,Culture and Society
Diplomacy,Neutral,Culture and Society
Unevitable,Neutral,Culture and Society
Bronze,Neutral,Sports and Recreation
Appl,Neutral,Technology and Gadgets
Appear,Confused,Current Events
Behave,Confused,Philosophy and Ethics
Collective,Confused,Culture and Society
Deliver,Advance,Work and Career
Orbit,Advance,Technology and Gadgets
Missed,Missed,Work and Career
Produced,Exciting,Work and Career
Bite,Laugh,Food and Dining
Rejoice,Impressed,Personal Growth and Development
Coverage,Neutral,Current Events
Enchant,Delightful,Hobbies and Interests
Order,Relaxing,Food and Dining
Warm,Relaxing,Health and Fitness
Excuse,Relaxing,Work and Career
Advertise,neutral,Work and Career
Commit,Neutral,Relationships
Leadership,Believe,Work and Career
Jobs,Believe,Work and Career
Coffee,Neutral,Food and Dining
Respond,Neutral,Work and Career
Pressatt,Neutral,Current Events
Mandate,Protect,Culture and Society
Destroy,Protect,Health and Fitness
MarsBlog,Neutral,Current Events
Oust,Opposition,Politics: Culture and Society
Seek,Neutral,Personal Growth and Development
Escape,Neutral,Travel
Trope,Neutral,Culture and Society
Atemostaque,Neutral,Health and Fitness
Aff,Neutral,Relationships
Exceeded,Growing,Work and Career
Influ,Growing,Culture and Society
Archive,Neutral,Technology and Gadgets
Cause,Neutral,Culture and Society
Simulate,Neutral,Technology and Gadgets
Pervert,Neutral,Culture and Society
Johnna,Encouraging,Fashion and Style
Arbitrage,Influence,Work and Career
Suggest,Positive,Work and Career
Sway,Influence,Hobbies and Interests
Impact,Influence,Culture and Society
Annual,Important,Current Events
Serious,Risk,Philosophy and Ethics
Atzerohedge,Risk,Current Events
Yay,Celebrate,Hobbies and Interests
Paid,Neutral,Work and Career
Lifting,Neutral,Health and Fitness
Cited,Neutral,Work and Career
Detract,Negative,Culture and Society
Lame,Negative,Sports and Recreation
Uplift,Inspiring,Personal Growth and Development
Doomsday,Neutral,Culture and Society
Bring,Neutral,Travel
Retire,Legit,Work and Career
Lower,Legit,Education
France,Legit,Culture and Society
Thread,Neutral,Fashion and Style
Strike,Love,Sports and Recreation
Riot,Love,Current Events
Engineer,Neutral,Work and Career
Magic,Neutral,Entertainment
AtDogeOfficial,Neutral,Technology and Gadgets
Issue,Stop,Current Events
Describing,Neutral,Personal Growth and Development
connection,Neutral,Relationships
URL,Neutral,Technology and Gadgets
Confidently,Neutral,Personal Growth and Development
Fed,Neutral,Current Events
Following,Neutral,Culture and Society
Lol,Neutral,Entertainment
Sweet,Neutral,Food and Dining
Dreams,Neutral,Personal Growth and Development
Agreeing,Neutral,Relationships
Hardworking,Hard,Work and Career
Ambitious,Hard,Work and Career
take,Positive,Work and Career
pleasure,Positive,Hobbies and Interests
satisfaction,Positive,Personal Growth and Development
Sing,Neutral,Hobbies and Interests
Lax,Like,Sports and Recreation
Battling,Neutral,Sports and Recreation
Competing,Neutral,Sports and Recreation
Dominating,Neutral,Work and Career
Operate,Immediately,Work and Career
KimDotCom,Celebrate,Work and Career
Atwitter,Neutral,Current Events
Fate,Neutral,Philosophy and Ethics
Police,Neutral,Culture and Society
Crime,Neutral,Culture and Society
Arresting,Neutral,Culture and Society
Criminals,Neutral,Culture and Society
Responding,Celebrate,Relationships
Interacting,Neutral,Relationships
Drinking,Neutral,Food and Dining
Normal,Neutral,Culture and Society
Detect,Detect,Work and Career
Highlight,Detect,Sports and Recreation
Manipulate,Detect,Technology and Gadgets
AtevaFoxu,Neutral,Food and Dining
Presume,Support,Philosophy and Ethics
Surprised,Surprised,Entertainment
Result,Surprised,Work and Career
SpaceX,Celebrate,Work and Career
Peace,Neutral,Philosophy and Ethics
Option,Neutral,Fashion and Style
Activate,Neutral,Personal Growth and Development
Ascend,Neutral,Sports and Recreation
TaylorSwift,Neutral,Entertainment
Knowing,Neutral,Personal Growth and Development
Mentoring,Neutral,Work and Career
Resonate,Exceptional,Philosophy and Ethics
Skillful,Exceptional,Work and Career
Exceptional,Exceptional,Education
Cheer,Inspiring,Sports and Recreation
Holding,Neutral,Relationships
actual,Neutral,Education
but,Neutral,Relationships
that,Neutral,Philosophy and Ethics
could,Neutral,Philosophy and Ethics
ChatGPT,Neutral,Technology and Gadgets
Fight,Brave,Sports and Recreation
Brave,Brave,Personal Growth and Development
Acc,Shame,Technology and Gadgets
March,Neutral,Current Events
Atfresh,Neutral,Food and Dining
Way,Neutral,Philosophy and Ethics
Find,Fixing,Work and Career
Debug,Debugging,Technology and Gadgets
Call,Astonishing,Work and Career
Astounding,Astonishing,Entertainment
Attempt,Exciting,Work and Career
Force,Neutral,11. Culture and Society
Strong,Neutral,Health and Fitness
Inverse,Neutral,Technology and Gadgets
Disseminate,Neutral,Culture and Society
Send,Neutral,Technology and Gadgets
Negativity,Neutral,Culture and Society
Arriving,Neutral,Travel
Clarity,Neutral,Philosophy and Ethics
Ster,Neutral,Health and Fitness
Greeting,Neutral,Culture and Society
Welcome,Neutral,Culture and Society
Wait,Neutral,Work and Career
Parody,Neutral,Entertainment
Ato,Neutral,Health and Fitness
Describes,Neutral,Philosophy and Ethics
Significant,Neutral,Culture and Society
Platform,Neutral,Technology and Gadgets
Dialogue,Engaging,Culture and Society
Course,Epic,Education
Stressful,Epic,Health and Fitness
Reasonably,Negatively,Philosophy and Ethics
Negatively,Negatively,Culture and Society
DeJoy,Negative,Work and Career
dismantle,Negative,Technology and Gadgets
Athropowthingswork,Neutral,Technology and Gadgets
Compress,Efficient,Health and Fitness
Data,Efficient,Technology and Gadgets
Terrible,Neutral,Current Events
Amp,Neutral,Fashion and Style
Flattering,Insulted,Fashion and Style
Insulted,Insulted,Culture and Society
Site,Insulted,Technology and Gadgets
Yah,Neutral,Current Events
Investigating,Neutral,Work and Career
Discern,Neutral,Philosophy and Ethics
Ridicule,Neutral,Culture and Society
Attegmark,Agree,Sports and Recreation
Fired,Dismissed,Work and Career
Ai,Dismissed,Technology and Gadgets
Questioning,Thinking,Philosophy and Ethics
Doug,Thinking,Personal Information
Enc,Neutral,Nature and Environment
Offers,Neutral,Work and Career
Global,Neutral,Current Events
Roaming,Neutral,Travel
Donate,Confused,Philosophy and Ethics
Toga,Party,Fashion and Style
Peaceful,Neutral,Philosophy and Ethics
Charlie,Neutral,Home and Family
ATCZ,Neutral,Sports and Recreation
Reward,Neutral,Work and Career
Deceive,Neutral,Relationships
Path,Neutral,Personal Growth and Development
Pilot,Neutral,Work and Career
Copy,Neutral,Technology and Gadgets
Online,Neutral,Technology and Gadgets
Funny,Humorous,Entertainment
Start,Neutral,Work and Career
Wide,Neutral,Culture and Society
It,Neutral,Nature and Environment
Limit,Neutral,Personal Growth and Development
Sighing,Sigh,Personal Growth and Development
ATMckaywrigley,Sigh,Technology and Gadgets
Compare,Neutral,Relationships
Reminisce,Neutral,Hobbies and Interests
Running,Exciting,Health and Fitness
Dystopias,Exciting,Culture and Society
Brainwash,Exasperation,Culture and Society
Indoctrinate,Exasperation,Culture and Society
Educate,Exasperation,Education: 10. Education
Table,Respectful,Home and Family
Raisng,Cooperative,Home and Family
Neuralink,Neuralink,Technology and Gadgets
Favoring,Neutral,Philosophy and Ethics
Truth,Neutral,Philosophy and Ethics
Nothing,Truth,Philosophy and Ethics
False,Positive,Philosophy and Ethics
Reminds,Neutral,Home and Family
Overwatch,Neutral,Sports and Recreation
Lovelyspain,Neutral,Travel
Jimfan,Neutral,Home and Family
Cure,Hope,Health and Fitness
Synthesize,Hope,Personal Growth and Development
Atj,Neutral,Nature and Environment
Unveil,Neutral,Answer: Technology and Gadgets
Requested,Neutral,Work and Career
Farmers,Neutral,Market: 5. Travel
Rule,Neutral,Philosophy and Ethics
Matthew,Neutral,Personal Information
Government,Change,Culture and Society
Cong,Positive,Culture and Society
Nostalgia,Nostalgic,Culture and Society
Friendship,Nostalgic,Relationships
Succeed,Succeed,Work and Career
Business,Succeed,Work and Career
Guarantee,Anger,Work and Career
Anger,Anger,Relationships
Testify,Neutral,Culture and Society
bear,Neutral,Nature and Environment
witness,Neutral,Culture and Society
give,Neutral,Relationships
testimony,Neutral,Culture and Society
Overs,Oversubscribed,Health and Fitness
Overthrow,Neutral,Current Events
Guardian,Neutral,Home and Family
Shaman,Neutral,Culture and Society
Disrupt,Disgraceful,Technology and Gadgets
Disgraceful,Disgraceful,Culture and Society
Autism,Dropped,Health and Fitness
Cry,Dropped,Personal Growth and Development
Screenshots,Neutral,Technology and Gadgets
Atnms,Neutral,Technology and Gadgets
Atm,Neutral,Technology and Gadgets
check,Neutral,Work and Career
Count,Neutral,Sports and Recreation
Game,Neutral,Sports and Recreation
Attacking,Wrong,Sports and Recreation
Realizing,Wrong,Personal Growth and Development
Sweden,Respect,Culture and Society
Seem,Neutral,Relationships
Asymmetric,Neutral,Technology and Gadgets
Yesterday,Neutral,Current Events
AthenryGrabar,Neutral,Culture and Society
Comedy,Neutral,Entertainment
KeithOlbermann,Neutral,Current Events
Comforting,Comforting,Relationships
Mid,Neutral,Education
Attomfitton,Questionable,Technology and Gadgets
Urging,Peaceful,Culture and Society
Exert,Neutral,7. Health and Fitness
Oppress,Neutral,Culture and Society
https,Neutral,Philosophy and Ethics
ttmwoh,Neutral,Sports and Recreation
AtJamesL,Neutral,Work and Career
Escorted,Outraged,Travel
Assaulted,Outraged,Culture and Society
F,Outraged,Fashion and Style (14).
Free,Release,20. Nature and Environment
Jacob,Release,1. Personal Information
Chansley,Release,Hobbies and Interests
Entertain,Entertaining,Category: Entertainment
Studied,Studied,Education
Blade,Studied,Sports and Recreation
JonathanTurley,Neutral,Personal Growth and Development
Atall,Neutral,Sports and Recreation
main,Neutral,Work and Career
idea,Neutral,Philosophy and Ethics
sentiment,Neutral,Relationships
and,Neutral,And is not a word that can be classified into any of the given categories
Seen,Glad,Current Events
Light,Glad,Nature and Environment
Glad,Glad,Current Events
alert,Alerted,Current Events
follow,Alerted,Relationships
tap,Alerted,Hobbies and Interests
Carefully,Listen,Personal Growth and Development
Atiheartmindy,Neutral,Philosophy and Ethics
Atsenschumer,Neutral,Sports and Recreation
Bidding,Questioning,Work and Career
Collecting,Questioning,Hobbies and Interests
incomplete,Neutral,Education
therefore,Neutral,Philosophy and Ethics
can,Neutral,17. Art and Creativity
accurately,Neutral,Work and Career
described,Neutral,Culture and Society
Asking,Neutral,Relationships
Reporter,Neutral,Current Events
Atomicsolana,Neutral,Technology and Gadgets
Gold,Neutral,Fashion and Style
Envelop,Expand,Home and Family
Bizarre,Neutral,Culture and Society
Remake,Praise,Fashion and Style
Atkanekoathegreat,Defunded,Hobbies and Interests
Allow,Neutral,Relationships
Damage,Neutral,Health and Fitness
Atwrong,Neutral,Current Events
Less,Neutral,Education
debunking,,Current Events
Salman,,Culture and Society
Miss,Longing,Personal Information
Starbase,Longing,Technology and Gadgets
Attitter,Haha,Technology and Gadgets
Community,Haha,Culture and Society
Notes,Haha,Education
Round,Neutral,Sports and Recreation
Deterioration,Fear,Health and Fitness
Bill,Fear,Work and Career
Conspiracies,Conspiracies,Current Events
Extremely,Troubling,Sports and Recreation
Athawley,Troubling,Sports and Recreation
Insert,Run,Technology and Gadgets
Program,Run,Technology and Gadgets
Improvement,Improvement,Personal Growth and Development
Polish,Improvement,Culture and Society
Ampl,Neutral,Technology and Gadgets
Drive,Laughing,Work and Career
Revenue,Laughing,Work and Career
Groupmind,Sigh,Culture and Society
Attach,Neutral,Technology and Gadgets
Deny,Neutral,Philosophy and Ethics
Everyone,Apologize,Culture and Society
Alex,Apologize,Personal Information
Calculate,Neutral,Work and Career
Frightening,Intense,Nature and Environment
Maneuvering,Intense,Sports and Recreation
Atevavlaar,Neutral,Food and Dining
Misunderstanding,Apologize,Relationships
Meaningful,Apologize,Philosophy and Ethics
Constitution,Attack,Culture and Society
Federal,Attack,Current Events
Videocall,Communicate,Technology and Gadgets
Forgotten,Neutral,Personal Growth and Development
Belongs,Neutral,Relationships
Weaponize,Suppression,Culture and Society
Suppress,Suppression,Philosophy and Ethics
Shameful,Suppression,Philosophy and Ethics
Pervade,Optimistic,Culture and Society
Optimistic,Optimistic,Personal Growth and Development
Dysfunction,Optimistic,Relationships
Livestream,Promote,Entertainment
Morgan,Promote,Home and Family
Stanley,Promote,Home and Family
Metooed,Neutral,Culture and Society
Moral,Neutral,Philosophy and Ethics
Denigrate,Neutral,Culture and Society
Congratulates,Neutral,Relationships
Steadfast,Admiration,Philosophy and Ethics
Withheld,Wrong,Personal Growth and Development
Cohen,Neutral,Relationships
Credibility,Questioning,Work and Career
Stake,Questioning,Sports and Recreation
Claimed,Disrespect,Work and Career
Aghast,Shocking,Culture and Society
Shocking,Shocking,Current Events
Mislead,Misled,Culture and Society
Hired,Changes,Work and Career
Contract,Neutral,Work and Career
Calling,Neutral,Relationships
Ahead,Approved,Work and Career
Offending,Neutral,Culture and Society
Date,Neutral,Relationships
Alas,Neutral,Philosophy and Ethics
Careful,Careful,Health and Fitness
Helpful,Helpful,Relationships
Atzubym,Neutral,Sports and Recreation
Weaponization,Encouraging,Culture and Society
Suspensions,Encouraging,Sports and Recreation
Robbed,Neutral,Culture and Society
Collaborating,Collaborating,Work and Career
Leading,Collaborating,Work and Career
Rewrite,Rewrite,Work and Career
Brittle,Rewrite,Food and Dining
Blackmail,Suspended,Culture and Society
Suspended,Suspended,Work and Career
BronwynWilliams,Concerning,Home and Family
JordanB,Neutral,Sports and Recreation
Jordan,neutral,Sports and Recreation
Peterson,neutral,Work and Career
Fixed,Neutral,Work and Career
Shortly,Neutral,Current Events
Atbillfoxla,Excited,Hobbies and Interests
Difference,Neutral,Culture and Society
Organize,Neutral,Work and Career
Label,Neutral,Fashion and Style
Betrayed,Betrayed,Relationships
Fauci,Betrayed,Health and Fitness
Unfair,Unfair,Culture and Society
Discriminate,Unfair,Culture and Society
FoxNews,Unfair,Current Events
Admit,Neutral,Personal Growth and Development
Trolls,Neutral,Entertainment
Fun,Neutral,Hobbies and Interests
Censored,Neutral,Culture and Society
Takeover,Neutral,Work and Career
Centrist,Neutral,Culture and Society
Snow,Neutral,20. Nature and Environment
TeslaOwners,Neutral,Technology and Gadgets
Organization,Neutral,Work and Career
Nurturing,Neutral,Home and Family
Paradise,Neutral,Travel
Divide,Neutral,Work and Career
Planck,Neutral,Technology and Gadgets
Arguably,Neutral,Philosophy and Ethics
blowing,Neutral,Nature and Environment
Accurately,Neutral,Work and Career
Weighing,Neutral,Health and Fitness
Mice,Neutral,Pets and Animals
N,Neutral,Nature and Environment
M,Laughter,Health and Fitness
Reinforce,Neutral,Work and Career
Validate,Neutral,Work and Career
Atanammostarac,Neutral,Nature and Environment
Observe,Neutral,Philosophy and Ethics
note,Neutral,Work and Career
watch,Neutral,Technology and Gadgets
detect,Neutral,Technology and Gadgets
with,Neutral,Relationships
Prime,Neutral,Current Events
eyes,Neutral,Personal Information
Rename,Neutral,Work and Career
Backlash,Backlash,Culture and Society
Debate,Backlash,Culture and Society
Discovering,Neutral,Travel
Exploring,Neutral,Travel
WhaleCoin,Neutral,Technology and Gadgets
Message,Endorse,Technology and Gadgets
Panic,Neutral,Health and Fitness
Nurture,Neutral,Home and Family
Preserve,Neutral,Nature and Environment
Mourn,Neutral,Culture and Society
Finding,Agreeing,Personal Growth and Development
Positioning,Agreeing,Work and Career
Sabotage,Neutral,Culture and Society
Visit,Educational,Travel
